NOME-COMPLETO,NOME-PARA-CITACAO,ORDEM-DE-INTEGRACAO,FLAG-RESPONSAVEL,NRO-ID-CNPQ,EQUIPE-DO-PROJETO_Id
"Rafael Keidi Kashima","KASHIMA, Rafael K.","3","NAO","",7
"Karen Ildete Stahl Soler Zaneti","ZANETI, Karen S. S. Z.","4","NAO","",7
"Ana Carolina Buzato Marchi","MARCHI, Ana Carolina B.","5","NAO","",7
"Lucilene Ferreira da Silva","SILVA, Lucilene F.","6","NAO","",7
"Angélica María Contreras Peña","PEÑA, Angélica María C.","7","NAO","",7
"Adriana do Nascimento Araujo Mendes","MENDES, A. N. A.;MENDES, Adriana N. A.;MENDES, ADRIANA","1","NAO","1620607218993565",8
"Leandro Barsalini","BARSALINI, L.","2","NAO","",8
"Fernando Augusto de Almeida Hashimoto","HASHIMOTO, F. A. A.","3","SIM","",8
"Paulo Adriano Ronqui","RONQUI, Paulo A.","4","NAO","",8
"Adriana do Nascimento Araujo Mendes","MENDES, A. N. A.;MENDES, Adriana N. A.;MENDES, ADRIANA","1","SIM","1620607218993565",9
"Rafael Brienza de Almeida","ALMEIDA, Rafael B.","2","NAO","",9
"Sandra Cielavin","CIELAVIN, S.","3","NAO","",9
"Adriana do Nascimento Araujo Mendes","MENDES, A. N. A.;MENDES, Adriana N. A.;MENDES, ADRIANA","1","SIM","1620607218993565",10
"Rafael Brienza de Almeida","ALMEIDA, Rafael B.","2","NAO","",10
"Alexandre Henrique dos Santos","SANTOS, Alexandre H.","3","NAO","",10
"Lucas Franz Vieira Dick","DICK, Lucas F. V.","4","NAO","",10
"Isabela Camillo Decicino","DECICINO, Isabela C.","5","NAO","",10
"Leonardo Alves Miranda","MIRANDA, Leonardo A.","6","NAO","",10
"Adriana do Nascimento Araujo Mendes","MENDES, A. N. A.;MENDES, Adriana N. A.;MENDES, ADRIANA","1","SIM","1620607218993565",11
"Gerson Branco Abdala","ABDALA, Gerson B.","2","NAO","",11
"Karen Ildete Stahl Soler Zaneti","ZANETI, Karen S. S. Z.","3","NAO","",11
"Cecilia Paulozzi Melo","MELO, Cecilia P.","4","NAO","",11
"Matheus de Barros Paula","PAULA, Matheus de B.","5","NAO","",11
"Airton Cesar de Oliveira","OLIVEIRA, Airton C. de","6","NAO","",11
"Adriana do Nascimento Araujo Mendes","MENDES, A. N. A.;MENDES, Adriana N. A.;MENDES, ADRIANA","1","SIM","1620607218993565",12
"Karen Ildete Stahl Soler Zaneti","ZANETI, Karen S. S. Z.","2","NAO","",12
"Cecília Paulozzi de Melo","MELO, C. P.","3","NAO","",12
"Adriana do Nascimento Araujo Mendes","MENDES, A. N. A.;MENDES, Adriana N. A.;MENDES, ADRIANA","1","SIM","1620607218993565",13
"Leonardo Matricardi","MATRICARDI, L.","2","NAO","",13
"Leonardo de Souza Mendes","MENDES, L. S.","3","NAO","",13
"Edgar Armeliato","ARMELIATO, E.","4","NAO","",13
"Max Henrique Machado Costa","COSTA, M. H. M.","5","NAO","",13
"Adriana do Nascimento Araujo Mendes","MENDES, A. N. A.;MENDES, Adriana N. A.;MENDES, ADRIANA","1","SIM","1620607218993565",14
"Iramar Eustachio Rodrigues","Iramar Rodrigues","2","NAO","",14
"Adriana do Nascimento Araujo Mendes","MENDES, A. N. A.;MENDES, Adriana N. A.;MENDES, ADRIANA","1","SIM","1620607218993565",15
"Angelica Maria Contreras Peña","PENA, A. M. C.","2","NAO","",15
"Adriana do Nascimento Araujo Mendes","MENDES, A. N. A.;MENDES, Adriana N. A.;MENDES, ADRIANA","1","SIM","1620607218993565",16
"Iramar Eustachio Rodrigues","Iramar Rodrigues","2","NAO","",16
"Adriana do Nascimento Araujo Mendes","MENDES, A. N. A.;MENDES, Adriana N. A.;MENDES, ADRIANA","1","SIM","1620607218993565",17
"Adriana do Nascimento Araujo Mendes","MENDES, A. N. A.;MENDES, Adriana N. A.;MENDES, ADRIANA","1","SIM","1620607218993565",18
"Adriana do Nascimento Araujo Mendes","MENDES, A. N. A.;MENDES, Adriana N. A.;MENDES, ADRIANA","1","NAO","1620607218993565",19
"José Augusto Mannis","MANNIS, José A.","2","NAO","",19
"Ana Cristina G. S. Tourinho","TOURINHO, A. C. G. S.","3","SIM","",19
"Roberta Azzi","AZZI, Roberta","4","NAO","",19
"Joel Barbosa","BARBOSA, Joel","5","NAO","",19
"Diana Santiago","SANTIAGO, Diana","6","NAO","",19
"Alda de Oliveira","OLIVEIRA, Alda de","7","NAO","",19
"Claudiney Carrasco","CARRASCO, Claudiney","8","NAO","",19
"Luciana Del Ben","BEN, Luciana D.","9","NAO","",19
"Jusamara Souza","SOUZA, Jusamara","10","NAO","",19
"Cristina Gerling","GERLING, Cristina","11","NAO","",19
"Adriana do Nascimento Araujo Mendes","MENDES, A. N. A.;MENDES, Adriana N. A.;MENDES, ADRIANA","1","SIM","1620607218993565",20
"Suelen Turibio Lopes","LOPES, S. T.","2","NAO","",20
"Gerson Branco Abdala","ABDALA, Gerson B.","3","NAO","",20
"Matheus Barros de Paula","PAULA, Matheus B.","4","NAO","",20
"Rafael Brienza de Almeida","ALMEIDA, Rafael B.","5","NAO","",20
"Audrey Caroline Rodrigues da Silva","SILVA, Audrey C. R.","6","NAO","",20
"Bruno Cabral Rodrigues","RODRIGUES, Bruno Cabral","7","NAO","",20
"Fernando de Souza Jorge","JORGE, Fernando S.","8","NAO","",20
"Tiago Liu Rabioglio Cotrim","COTRIM, Tiago Liu R.","9","NAO","",20
"Diana Yumi Shirata Lanças","LANÇAS, Diana Y. S.","10","NAO","",20
"Átilla Ramos Leite","LEITE. Átilla R.","11","NAO","",20
"Beatriz Esposito Vieito","VIEITO, Beatriz E.","12","NAO","",20
"Cassiano Lima Silveira Santos","SANTOS, Cassiano L. S.","13","NAO","",20
"Yandara Pimentel Mendes","MENDES, Yandara P.","14","NAO","",20
"Carla Martins Diez","DIEZ, Carla M.","15","NAO","",20
"Mirela Garcia dos Reis","REIS, Mirela G.","16","NAO","",20
"Henrique Carvalho Murad","MURAD, Henrique C.","17","NAO","",20
"Madelaine Dias","DIAS, Madelaine","18","NAO","",20
"Patrícia K. César","CESAR, P. K.","19","NAO","",20
