NOME-COMPLETO,NOME-PARA-CITACAO,ORDEM-DE-INTEGRACAO,FLAG-RESPONSAVEL,NRO-ID-CNPQ,EQUIPE-DO-PROJETO_Id
"Flávio Keidi Miyazawa","MIYAZAWA, F. K.","2","SIM","",6
"Pedro Jussieu de Rezende","REZENDE, P. J.","3","NAO","",6
"Eduardo Candido Xavier","Xavier, E. C.","4","NAO","",6
"Luis Augusto Angelotti Meira","Meira, L. A. A.","5","NAO","",6
"Zanoni Dias","DIAS, Z.;Dias, Z.;Dias, Zanoni","1","NAO","1789677069372972",7
"Guilherme P. Telles","TELLES, G. P.","2","NAO","9783560852644016",7
"Cid Carvalho de Souza","SOUZA, C. C.","3","NAO","",7
"Orlando Lee","LEE, O.","4","NAO","",7
"Arnaldo Vieira Moura","MOURA, A. V.","5","NAO","",7
"Celia Picinin de Mello","MELLO, C. P.","6","SIM","",7
"Flávio Keidi Miyazawa","MIYAZAWA, F. K.","7","NAO","",7
"Pedro Jussieu de Rezende","REZENDE, P. J.","8","NAO","",7
"Eduardo Candido Xavier","Xavier, E. C.","9","NAO","",7
"Christiane Neme Campos","Campos, C. N.","10","NAO","",7
"Zanoni Dias","DIAS, Z.;Dias, Z.;Dias, Zanoni","1","NAO","1789677069372972",8
"Anderson de Rezende Rocha","Rocha, A. de R.","2","SIM","1521815731111261",8
"Siome Goldenstein","Goldenstein, S.","3","NAO","3575273076267374",8
"Alessandro Piva","PIVA, A.","4","NAO","",8
"Stefano Tubaro","TUBARO, S.","5","NAO","",8
"Mauro Barni","BARNI, M.","6","NAO","",8
"Marco Tagliasacchi","TAGLIASACCHI, M.","7","NAO","",8
"Alessia De Rosa","ROSA, A.","8","NAO","",8
"Zanoni Dias","DIAS, Z.;Dias, Z.;Dias, Zanoni","1","NAO","1789677069372972",9
"Guilherme P. Telles","TELLES, G. P.","2","NAO","9783560852644016",9
"Cid Carvalho de Souza","SOUZA, C. C.","3","SIM","",9
"Orlando Lee","LEE, O.","4","NAO","",9
"Celia Picinin de Mello","MELLO, C. P.","5","NAO","",9
"Flávio Keidi Miyazawa","MIYAZAWA, F. K.","6","NAO","",9
"Pedro Jussieu de Rezende","REZENDE, P. J.","7","NAO","",9
"Eduardo Candido Xavier","Xavier, E. C.","8","NAO","",9
"Zanoni Dias","DIAS, Z.;Dias, Z.;Dias, Zanoni","1","NAO","1789677069372972",10
"Maria Emília Machado Telles Walter","WALTER, M. E. M. T.","2","NAO","0216229039021964",10
"Katia Silva Guimarães","GUIMARAES, K. S.","3","SIM","",10
"Meidanis, João","Meidanis, João","4","NAO","1313385414995585",10
"Jeane Cecília Bezerra de Melo","MELO, J. C. B.","5","NAO","",10
"Eugene Wimberly Myers","MYERS, E. W.","6","NAO","",10
"Marie-France Sagot","SAGOT, M.","7","NAO","",10
"Paulo Gustavo Soares da Fonseca","FONSECA, P. G. S.","8","NAO","",10
"Maxime Crochemore","CROCHEMORE, M.","9","NAO","",10
"Guillaume Fertin","FERTIN, G.","10","NAO","",10
"Zanoni Dias","DIAS, Z.;Dias, Z.;Dias, Zanoni","1","NAO","1789677069372972",11
"Guilherme P. Telles","TELLES, G. P.","2","NAO","9783560852644016",11
"Munir Skaf","SKAF, M.","3","SIM","",11
"Claudia Medeiros","MEDEIROS, C.","4","NAO","",11
"Vera Nisaka Solferini","SOLFERINI, V. N.","5","NAO","",11
"Rodolfo Azevedo","AZEVEDO, R.","6","NAO","",11
"Euclides de Mesquita Neto","MESQUITA NETO, E.","7","NAO","",11
"Guido Costa Souza de Araújo","ARAUJO, G. C. S.","8","NAO","",11
"Douglas Soares Galvão","GALVAO, D. S.","9","NAO","",11
"Martin Tygel","TYGEL, M.","10","NAO","",11
"Gonçalo Guimarães Pereira","PEREIRA, G. G.","11","NAO","",11
"Renato Pavanello","PAVANELLO, R.","12","NAO","",11
"Alex Antonelli","ANTONELLI, A.","13","NAO","",11
"Maurice de Koning","KONING, M.","14","NAO","",11
"Rogerio Custodio","CUSTODIO, R.","15","NAO","",11
"Nelson Henrique Morgon","MORGON, N. H.","16","NAO","",11
"Peter J. Rossky","ROSSKY, P. J.","17","NAO","",11
"Victor Salvador Batista","BATISTA, V. S.","18","NAO","",11
"Martin Schanz","SCHANZ, M.","19","NAO","",11
"Daniel Laria","LARIA, D.","20","NAO","",11
"Dario Estrin","ESTRIN, D.","21","NAO","",11
"Zanoni Dias","DIAS, Z.;Dias, Z.;Dias, Zanoni","1","SIM","1789677069372972",12
"Ulisses Martins Dias","DIAS, U.","2","NAO","4926594438458702",12
"Zanoni Dias","DIAS, Z.;Dias, Z.;Dias, Zanoni","1","SIM","1789677069372972",13
"Ulisses Dias","U. Dias","2","NAO","4926594438458702",13
"Zanoni Dias","DIAS, Z.;Dias, Z.;Dias, Zanoni","1","SIM","1789677069372972",14
"João Meidanis","MEIDANIS, J.","2","NAO","1313385414995585",14
"Cleber Mira","MIRA, C.","3","NAO","3200716627366267",14
"Ulisses Martins Dias","DIAS, U.","4","NAO","4926594438458702",14
"Guillaume Fertin","FERTIN, G.","5","NAO","",14
"Anthony Labarre","LABARRE, A.","6","NAO","",14
"Géraldine Jean","JEAN, G.","7","NAO","",14
"Stéphane Vialette","VIALETTE, S.","8","NAO","",14
