NOME-COMPLETO,NOME-PARA-CITACAO,ORDEM-DE-INTEGRACAO,FLAG-RESPONSAVEL,NRO-ID-CNPQ,EQUIPE-DO-PROJETO_Id
"Simone Silva de Deos","DEOS, Simone","1","NAO","2014231776693159",7
"André Martins Biancareli","BIANCARELI, André Martins","2","SIM","6746804794811630",7
"Giuliano Contento de Oliveira","OLIVEIRA, G. C.","3","NAO","2245694745135834",7
"Heitor Mobílio de Pádua Neto","PADUA NETO, H. M.","4","NAO","",7
"Pedro Rossi","ROSSI, P.","5","NAO","",7
"Bruno de Conti","Conti, Bruno","6","NAO","",7
"Paulo Jose Wolf","Wolf, Paulo José","7","NAO","",7
"Alex. W. Paludetto","PALUDETTO, A. W.","8","NAO","",7
"Fernanda Ultremare","ULTREMARE, F.","9","NAO","",7
"Olivia Bullio Mattos","MATTOS, O. B.","10","NAO","",7
"Simone Silva de Deos","DEOS, Simone","1","NAO","2014231776693159",8
"José Carlos de Souza Braga","BRAGA, José Carlos de Souza","2","SIM","2245694745135834",8
"Marcos Antonio Macedo Cintra","CINTRA, Marcos Antonio Macedo","3","NAO","",8
"Ana Rosa R Mendonça Sarti","SARTI, Ana Rosa R Mendonça","4","NAO","2245694745135834",8
"Adriana Nunes Ferreira","FERREIRA, Adriana Nunes","5","NAO","5136633901754773",8
"Carla Cristiane Lopes Corte","CORTE, Carla Cristiane Lopes","6","NAO","",8
"Rogério Pereira de Andrade","ANDRADE, Rogério Pereira de","7","NAO","2245694745135834",8
"Simone Silva de Deos","DEOS, Simone","1","NAO","2014231776693159",9
"Juan Mário Fandiño","FANDIÑO, Juan Mário","2","SIM","",9
"Simone Silva de Deos","DEOS, Simone","1","NAO","2014231776693159",10
"José Carlos de Souza Braga","BRAGA, José Carlos de Souza","2","NAO","2245694745135834",10
"Giuliano Contento de Oliveira","OLIVEIRA, G. C.","3","NAO","2245694745135834",10
"Luciana Acioly da Silva","SILVA, L. A.","4","SIM","",10
"Simone Silva de Deos","DEOS, Simone","1","SIM","2014231776693159",11
"José Carlos de Souza Braga","BRAGA, José Carlos de Souza","2","NAO","2245694745135834",11
"Ana Rosa Ribeiro Mendonça","MENDONÇA, Ana Rosa Ribeiro","3","NAO","2245694745135834",11
"Giuliano Contento de Oliveira","OLIVEIRA, G. C.","4","NAO","2245694745135834",11
"Paulo José Whitaker Wolf","WOLF, P. J. W.","5","NAO","2245694745135834",11
"Olívia Maria Bullio Mattos","MATTOS, O. M. B.","6","NAO","2245694745135834",11
"Simone Silva de Deos","DEOS, Simone","1","NAO","2014231776693159",12
"Adriana Nunes Ferreira","FERREIRA, Adriana Nunes","2","NAO","5136633901754773",12
"Daniela Magalhães Prates","PRATES, Daniela Magalhães","3","NAO","",12
"Ana Rosa Ribeiro Mendonça","MENDONÇA, Ana Rosa Ribeiro","4","NAO","2245694745135834",12
"Nina Kaltenbrunner","KALTENBRUNNER, N.","5","NAO","",12
"Gary Dimsky","DIMSKY, G.","6","SIM","",12
"Giovanni Cozzi","COZZI, G.","7","NAO","",12
"Simone Silva de Deos","DEOS, Simone","1","SIM","2014231776693159",13
